Funktion;Subfunktion;;;Text;
Gebot;Gebot;;;(1) Durch den Mietvertrag wird der Vermieter verpflichtet, dem Mieter den Gebrauch der Mietsache während der Mietzeit zu gewähren.;
Gebot;Gebot;;;Der Vermieter hat die Mietsache dem Mieter in einem zum vertragsgemäßen Gebrauch geeigneten Zustand zu überlassen und sie während der Mietzeit in diesem Zustand zu erhalten.;
Gebot;Gebot;;;Er hat die auf der Mietsache ruhenden Lasten zu tragen.;
Gebot;Gebot;;;(2) Der Mieter ist verpflichtet, dem Vermieter die vereinbarte Miete zu entrichten.;
RF Einwendung;Freistellung;;;(1) Hat die Mietsache zur Zeit der Überlassung an den Mieter einen Mangel, der ihre Tauglichkeit zum vertragsgemäßen Gebrauch aufhebt, oder entsteht während der Mietzeit ein solcher Mangel, so ist der Mieter für die Zeit, in der die Tauglichkeit aufgehoben ist, von der Entrichtung der Miete befreit.;
Gebot;Gebot;;;Für die Zeit, während der die Tauglichkeit gemindert ist, hat er nur eine angemessen herabgesetzte Miete zu entrichten.;
RF;Maßstab;;;Eine unerhebliche Minderung der Tauglichkeit bleibt außer Betracht.;
RF;Maßstab;;;(1a) Für die Dauer von drei Monaten bleibt eine Minderung der Tauglichkeit außer Betracht, soweit diese auf Grund einer Maßnahme eintritt, die einer energetischen Modernisierung nach § 555b Nummer 1 dient.;
Verweisung;direkt §;;;(2) Absatz 1 Satz 1 und 2 gilt auch, wenn eine zugesicherte Eigenschaft fehlt oder später wegfällt.;
Verweisung;analog §;;;(3) Wird dem Mieter der vertragsgemäße Gebrauch der Mietsache durch das Recht eines Dritten ganz oder zum Teil entzogen, so gelten die Absätze 1 und 2 entsprechend.;
RF Einwendung;Unwirksamkeit;;;(4) Bei einem Mietverhältnis über Wohnraum ist eine zum Nachteil des Mieters abweichende Vereinbarung unwirksam.;
